,VFINX,VEXMX,NAESX,VEURX,VPACX,VBINX,VIVAX,VEIEX,VIMSX,VISGX,VISVX,QQQ,VBIAX,VGSLX
1990-01-31,-0.06699859294490691,-0.013572174401754636,0.002390876390058888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-28,0.012930305927342326,0.008777911297208866,0.001535609895473751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-30,0.026255960484160484,-0.006429170168333154,0.022949605736624364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-04-30,-0.02483210829730293,-0.013329632612994639,0.006285132828542726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-05-31,0.09711079611445472,-0.027883762890899638,-0.004888998796428248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-06-29,-0.006704180061394211,0.004663656692997783,0.005425090508069555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-07-31,-0.003032100750267936,-0.02288857558470033,-0.0159537630906664,0.056105627544272854,0.049304069291223135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-08-31,-0.09013924731182801,-0.002223960897208277,-0.029964582997554626,-0.009305593717626542,-0.02514036411729549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-09-28,-0.04872073374879611,-0.01828957985158055,-0.01748922350450334,-0.060598067177887606,-0.07109203770015463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-10-31,-0.003909436107321544,-0.03440354969891142,-0.020338206464117096,0.10433359848393195,0.15289162190361538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-11-30,0.06456689497716891,0.006222450895390641,0.0031879782474411172,-0.05503245845233028,-0.11967595868858982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-31,0.027337154434353344,0.009637354522961338,0.006585095868257965,-0.04475580430591656,0.04812383812751284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-31,0.043397161758429524,0.012447227266817192,0.02698292355414806,-0.021802716663238582,0.009702313754290714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-28,0.07167765674542287,0.013190688050128074,0.023928682475784738,0.0011877351073237147,0.053018412253322995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-03-28,0.024236300604728273,0.015607169745669353,0.02755920879289276,-0.0992869967951548,-0.012201101913302398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
